cancer_type,N,HRDsum_min,HRDsum_Q1,HRDsum_median,HRDsum_Q3,HRDsum_max,HRDsum_ge_42
ACC,77,0.0,3.0,9.0,14.0,53.0,2
BLCA,388,0.0,15.0,26.0,39.0,101.0,83
BRCA,743,0.0,9.0,19.0,35.0,89.0,131
CESC,290,0.0,11.25,18.0,27.0,68.0,17
CHOL,35,0.0,17.0,23.0,26.0,46.0,1
COAD,278,0.0,4.0,11.0,17.0,64.0,3
DLBC,47,0.0,8.0,14.0,20.5,54.0,1
ESCA,154,0.0,25.0,34.0,44.75,73.0,48
GBM,135,0.0,4.0,7.0,11.0,37.0,0
HNSC,509,0.0,14.0,24.0,33.0,72.0,52
KICH,65,0.0,0.0,0.0,4.0,32.0,0
KIRC,297,0.0,3.0,5.0,8.0,53.0,2
KIRP,262,0.0,0.0,0.0,4.0,42.0,1
LGG,507,0.0,4.0,7.0,11.0,42.0,1
LIHC,355,0.0,9.0,16.0,24.0,63.0,8
LUAD,394,0.0,14.0,22.0,34.75,78.0,54
LUSC,355,0.0,24.0,35.0,44.0,85.0,116
MESO,78,0.0,12.0,18.0,25.0,45.0,2
OV,10,19.0,31.25,37.5,44.25,86.0,4
PAAD,143,0.0,7.0,16.0,24.5,48.0,3
PCPG,160,0.0,4.0,7.0,11.0,21.0,0
PRAD,387,0.0,5.0,11.0,17.0,58.0,5
READ,92,0.0,12.0,15.0,21.25,61.0,1
SARC,213,0.0,16.0,30.0,44.0,81.0,64
SKCM,104,0.0,11.0,16.0,23.0,57.0,6
STAD,370,0.0,6.25,24.0,40.75,97.0,88
TGCT,149,1.0,10.0,15.0,20.0,38.0,0
THCA,464,0.0,0.0,0.0,0.0,11.0,0
THYM,107,0.0,0.0,1.0,5.0,22.0,0
UCEC,403,0.0,0.0,3.0,26.5,85.0,40
UCS,56,2.0,22.0,34.0,45.0,77.0,19
UVM,80,0.0,2.0,4.0,8.0,17.0,0
