paper_id,Paper,Year,Category,Link,local_file,pages_sections,review_status,delta_category,Cancer_cohort,N,Assay,Input_datatype,Ground_truth_HRD_definition,HRD_calculation_method,LOH_definition,LST_definition,TAI_definition,Upstream_allele_specific_CN_method,Purity_ploidy_correction,CNV_method,Methylation_preprocessing,Raw_IDAT_MU_requirement,RNA_preprocessing,Model_class,Feature_selection,Training_strategy,Validation_strategy,Cross_validation_design,External_validation,Performance_metrics,Calibration_uncertainty,Single_sample_compatible,Cross_cancer_compatible,Code_software,Synthetic_data_relevance,Major_strengths,Major_limitations,Direct_relevance_KIDS26,Implementation_ideas,documented_fact,inference,recommendation
L01,Patterns of genomic loss of heterozygosity predict homologous recombination repair defects in epithelial ovarian cancer.,2012,HRD / genomic scars,https://pubmed.ncbi.nlm.nih.gov/23047548/,../papers/2012_Patterns_of_genomic_loss_of_heterozygosity_predict_homologous_recombination_repa.pdf,"pp. 1-4,6",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Three ovarian cohorts; breast/pancreatic cell lines,640 ovarian tumors; 57 cell lines; assay denominators differ,SNP genotyping; BRCA mutation/methylation/expression,LOH regions,BRCA1/2 defects with LOH; RAD51C methylation explored,LOH segments >15 Mb but less than whole chromosome,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Event count,Not established in reviewed material,Not established in reviewed material,Two independent ovarian cohorts and cell lines,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Yes after valid allele-specific segmentation,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Canonical LOH definition,Not established in reviewed material,The original HRD score counts LOH regions; it is not the later three-component sum. Scars can persist after reversion.,HRD score is an ambiguous historical name.,Store component names and assay provenance explicitly.
L02,Telomeric allelic imbalance indicates defective DNA repair and sensitivity to DNA-damaging agents.,2012,HRD / genomic scars,https://pubmed.ncbi.nlm.nih.gov/22576213/,../papers/nihms-513878.pdf,pp. 1-8; Methods pp. 6-8,Newly available author manuscript; consequential methods reviewed,CONFIRMS CURRENT PLAN,Breast cell lines; Cisplatin-1/2 TNBC; TCGA ovarian and triple-negative breast,Cisplatin-1 27 profiled; Cisplatin-2 26 after ASCAT/purity; TCGA OV 218; TCGA breast 78; cell-line assay Ns vary,42K/330K OncoScan and SNP6 genotyping arrays,Allele-specific copy number and allelic imbalance,Platinum response and BRCA1/2 status; NtAI is evaluated as a scar biomarker,"NtAI count, not three-component HRDsum",Not a standalone LOH endpoint; copy-neutral LOH is explicitly recognized as a possible source of telomeric AI,Absent,"Unequal allele copy number with at least one allele present, extending to the subtelomere without crossing the centromere",AROMAv2/CalMaTe; TumorBoost with paired normal; ASCAT,ASCAT correction; samples below 36% purity and failed profiles excluded in the reported cohorts,AROMAv2/CalMaTe; TumorBoost when paired normal available; ASCAT corrects purity/ploidy,Not established in reviewed material,Methylation IDAT/M/U absent; SNP-array allele-intensity/genotype input required,Not established in reviewed material,Not established in reviewed material,"Platform-density-specific minimum consecutive probes: 25 (42K), 200 (330K), 500 (SNP6)",Not established in reviewed material,"Multiple trials, cell-line datasets, and TCGA cohorts; no predictive-model CV",Not established in reviewed material,Cisplatin trials and TCGA OV,ROC AUC/rank tests and platinum-response associations; exact values by cohort,No formal probability calibration or individual uncertainty interval,Yes after validated allele-specific profiling and QC,Breast/ovarian evidence only,ASCAT; public OncoScan data GSE28330,Not established in reviewed material,Exact TAI definition and purity/ploidy-aware allele inference across platforms,Platform-dependent probe thresholds; low-purity failures; historical scar can persist after repair restoration,Canonical TAI information requirement,Use as truth fixture: AI means unequal allele copy with at least one allele present; telomeric region reaches subtelomere without crossing centromere,"TAI was derived from SNP-array allele signals with ASCAT, not total CN. Copy-neutral LOH is explicitly a possible source of telomeric AI.",Neither ordinary beta values nor methylation-derived total CN contains the demonstrated input needed for canonical TAI.,Retain canonical TAI only for allele-aware reference data; call total-CN telomeric features telomeric CN alteration burden.
L03,Homologous Recombination Deficiency (HRD) Score Predicts Response to Platinum-Containing Neoadjuvant Chemotherapy in Patients with Triple-Negative Breast Cancer.,2016,HRD / genomic scars,https://pubmed.ncbi.nlm.nih.gov/26957554/,../papers/nihms-1052067.pdf,pp. 2-11; Methods pp. 4-7,"Newly available author manuscript; main methods reviewed, component supplement unavailable",CONFIRMS CURRENT PLAN,Three neoadjuvant TNBC platinum trials; independent breast/ovarian threshold cohort,Threshold cohort 497 breast + 561 ovarian (268 BRCA1/2-deficient); PrECOG evaluable 70; pooled cisplatin evaluable 50,"54,091-SNP custom NGS panel; MIP SNP array for 10 PrECOG cases",Genome-wide SNP allelic-imbalance profiles,HRD-high if score >42 and/or deleterious BRCA1/2 mutation,Unweighted HRD-LOH + TAI + LST; individual algorithm details deferred to supplement/prior papers,Component algorithm deferred to supplement/prior paper in the local manuscript,Component algorithm deferred to supplement/prior paper in the local manuscript,Component algorithm deferred to supplement/prior paper in the local manuscript,"Allelic-imbalance profiles from a 54,091-SNP targeted sequencing panel; MIP array for 10 cases",Not reported in sufficient detail in the reviewed local main text,Allelic-imbalance profiles from targeted SNP reads; platform correlation 0.94 in 31 paired samples,Not established in reviewed material,No methylation-array input; targeted SNP read counts/allelic profiles required,Not established in reviewed material,Prespecified additive scar score; logistic association analyses,Fixed distributed SNP panel,Threshold set independent of therapy cohorts; cutoff chosen at fifth percentile of BRCA-deficient scores,Three clinical trial cohorts with prespecified cisplatin analysis,Not established in reviewed material,Two pooled cisplatin trials separate from threshold cohort,AUC 0.761 for RCB0/I and 0.747 for pCR; sensitivity at 42 was 85% and 93%,Cutoff selected independently; no individual prediction interval or cross-cancer calibration,Yes with validated SNP assay,Threshold derived in breast/ovarian; no pan-cancer validation,Commercial assay details partly in supplement/prior paper,Not established in reviewed material,Independent threshold cohort and explicit component sum,Commercial pipeline details incomplete locally; treatment prediction and current HR function are distinct,Defines the reference endpoint and demonstrates independent thresholding,Keep continuous sum primary; store cutoff provenance separately,"The canonical combined score is an unweighted allele-aware LOH+TAI+LST sum. The clinical cutoff was trained in breast/ovarian BRCA-deficient tumors, not pediatric CNS tumors.",A value of 42 is not automatically portable across cancers or assays.,Predict continuous reference HRDsum and do not emit an HRD-high probability without tumor-specific calibration.
L04,Intratumor Heterogeneity of Homologous Recombination Deficiency in Primary Breast Cancer.,2016,HRD / genomic scars,https://pubmed.ncbi.nlm.nih.gov/27601588/,../papers/1193.pdf,pp. 1-6,Newly available full article; methods/results reviewed,REFINES CURRENT PLAN,Prospective primary stage I-III breast cancer multi-region sampling,99 biopsies from 33 tumors; 81 biopsies/32 cancers analyzed; 70 HRD scores from 31 patients,"54,091-SNP NGS capture plus BRCA1/2 and BRCA1 promoter methylation",Allele-imbalance profiles from SNP reads,HRD score >=42 or tumor BRCA mutation,"LOH (>15 Mb subchromosomal) + TAI (to subtelomere, not centromere crossing) + LST (breaks between >10 Mb regions after removing <3 Mb regions)",Subchromosomal LOH greater than 15 Mb,Breaks between adjacent regions greater than 10 Mb after removing regions smaller than 3 Mb,Allelic imbalance extending to a subtelomere without crossing the centromere,"Hidden Markov segmentation of a 54,091-SNP targeted panel; algorithm similar to Popova",Not reported in sufficient detail in the reviewed article,Hidden Markov segmentation; allele-specific CN algorithm similar to Popova,BRCA1 promoter: quantitative NGS at 10 CpGs; array methylation not used,No methylation-array input; SNP allelic read profiles required,Not established in reviewed material,"Reproducibility study, not predictive ML",Not established in reviewed material,Not established in reviewed material,Three spatial biopsies per tumor where material passed,Not established in reviewed material,Not established in reviewed material,Patient-level HRD score intraclass correlation 0.977; category/BRCA status perfect concordance in available biopsies,Intraclass correlation reported; no model probability calibration or individual intervals,Yes after assay QC,No; breast only,Not established in reviewed material,Not established in reviewed material,Direct spatial reproducibility assessment,Small single-center cohort and commercial assay,Supports patient grouping and distinguishes within-tumor from between-tumor variation,Group all patient/model-lineage specimens; never split related biopsies across folds,"Allele-aware HRDsum was spatially reproducible in this small breast cohort, but only 31 patients had scores.",Lineage grouping remains mandatory even when scar scores appear stable within one adult tumor type.,Keep patient/lineage grouped validation; do not treat related PBTP models as independent.
L05,HRDetect is a predictor of BRCA1 and BRCA2 deficiency based on mutational signatures.,2017,HRD / mutational signatures,https://pubmed.ncbi.nlm.nih.gov/28288110/,../papers/2017_HRDetect_is_a_predictor_of_BRCA1_and_BRCA2_deficiency_based_on_mutational_signat.pdf,"pp. 2,4-7",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Breast discovery; breast/ovarian/pancreatic validation,560 profiled; initial training 22 BRCA-null vs 235 quiet genomes,WGS,"SBS, indel, rearrangement signatures and CN HRD index",BRCA1/2 biallelic deficiency,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Lasso logistic regression,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Iterative nested ten-fold CV,Independent adult cancer cohorts,Not established in reviewed material,Not established in reviewed material,Yes with compatible variant pipeline,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,HRD biology and validation,Not established in reviewed material,"HRDetect integrates several mutation classes and estimates BRCA deficiency probability, not HRDsum.",WES does not recover all WGS rearrangement information.,Orthogonal WGS comparator only.
L06,A mutational signature reveals alterations underlying defective homologous recombination repair.,2017,HRD / mutational signatures,https://pubmed.ncbi.nlm.nih.gov/?term=A+mutational+signature+reveals+alterations+underlying+defective+homologous+recombination+repair,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,HRD / mutational signatures,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L07,Copy number signatures and mutational processes in cancer.,2018,HRD / CNV signatures,https://pubmed.ncbi.nlm.nih.gov/?term=Copy+number+signatures+and+mutational+processes+in+cancer,../papers/emss-78219.pdf,pp. 1-12; figures/supplement references thereafter,Newly available author manuscript; main methods/results reviewed,REFINES CURRENT PLAN,"High-grade serous ovarian cancer: BriTROC-1, PCAWG-OV, TCGA-OV",BriTROC 142 patients/300 samples; 91 high-quality discovery profiles; PCAWG 112; TCGA 415,"Shallow WGS, deep WGS, and SNP array",Absolute total-CN segments and breakpoint-derived distributions,Signatures associated with mutational processes including HRD; not canonical HRDsum,Not established in reviewed material,Absent; total/absolute CN signatures are the target representation,Absent; breakpoint distributions are not named canonical LST,Absent,Battenberg used as a paired WGS check; external TCGA/PCAWG absolute CN includes ABSOLUTE/Battenberg sources,QDNAseq plus TP53-VAF probabilistic purity/ploidy/absolute-CN fit; matched WGS checks,QDNAseq plus TP53-VAF probabilistic absolute-CN fit for sWGS; Battenberg paired check; ABSOLUTE for external cohorts,Not established in reviewed material,No methylation arrays; sequencing read-depth inputs,Not established in reviewed material,Mixture models followed by NMF,"Six CN distributions: segment size, breaks/10 Mb, adjacent CN change, segment CN, breaks/arm, oscillating-CN run length","36 mixture components; seven signatures chosen using 1,000 NMF starts and 1,000 permuted nulls",Independent PCAWG-OV and TCGA-OV decompositions; matched sWGS/WGS purity/ploidy in 34 samples,Not established in reviewed material,PCAWG-OV and TCGA-OV,Median signature-weight correlation 0.86 across external cohorts; survival test C-index 0.56,NMF stability and null permutations reported; no individual predictive interval,Exposure assignment possible after signatures fixed,Not demonstrated; HGSOC signatures expected to expand in other cancers,"QDNAseq, Battenberg, ABSOLUTE, FlexMix, NMF, YAPSA",Not established in reviewed material,Explicit resolution/purity/ploidy QC and independent CN-platform checks,Total-CN process signatures are assay/pipeline/ploidy sensitive and not canonical allele-aware scars,Total-CN secondary feature design,Borrow segment/breakpoint distributions only after conumee2 benchmark; record callable denominator and ploidy,The seven signatures were derived from total/absolute CN features with strong quality filtering; the paper explicitly warns that preprocessing and ploidy alter signatures.,This supports a total-CN structural branch but cannot recover LOH or TAI without alleles.,"Keep total-CN features secondary and name them as structural/CN signatures, not HRDsum components."
L08,Signatures of copy number alterations in human cancer.,2022,HRD / CNV signatures,https://pubmed.ncbi.nlm.nih.gov/35705804/,../papers/2022_Signatures_of_copy_number_alterations_in_human_cancer.pdf,"pp. 1-2,9",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,TCGA 33 cancers,9873 discovery; 9699 after described artifact exclusions,Allele-specific CN from multiple genomic assays,"CN states, heterozygosity, segment length",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Signature decomposition,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Genomic instability is not HRD-specific,CN feature design,Not established in reviewed material,"Describes 21 CN signatures; 17 attributed to processes including doubling, LOH and HRD. Feature construction includes allelic information.",Total-intensity CN cannot automatically reproduce allele-specific signature channels.,Borrow burden/length concepts; label partial signatures as surrogates.
L09,Pan-cancer landscape of homologous recombination deficiency.,2020,HRD / classifier,https://pubmed.ncbi.nlm.nih.gov/33149131/,../papers/2020_Pan_cancer_landscape_of_homologous_recombination_deficiency.pdf,"pp. 1-3,9",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,"Hartwig, BRCA-EU, PCAWG","2026 training: 35 BRCA1,89 BRCA2,1902 HRP; landscape 3504 metastatic/1854 primary",WGS,"Mutation-context proportions, SBS/indel/SV",Biallelic BRCA1/2 for supervised development,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Random forest CHORD,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,BRCA-EU and PCAWG; some HRDetect development overlap,"CV HRD AUROC 0.98, AUPRC 0.87; selected external subsets >0.98/>0.93",Not established in reviewed material,Yes with mutation-count and MSI QC,Adult evidence; pediatric unproven,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Transfer-validation precedent,Not established in reviewed material,"CHORD validates across cancers and discusses historical scars, mutation-count QC and variant-caller dependence.",QC-failed low-mutation pediatric genomes cannot be called HR-proficient.,Keep probability and QC as separate orthogonal evidence.
L10,Pan-cancer analysis of genomic scar patterns caused by homologous repair deficiency (HRD).,2022,HRD / TCGA,https://pubmed.ncbi.nlm.nih.gov/35681079/,../papers/2022_Pan_cancer_analysis_of_genomic_scar_patterns_caused_by_homologous_repair_deficie.pdf,"pp. 1,6-8,10-11",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,TCGA 33 cancers; OV WES subset,8847 integrated tumors; assay Ns differ,SNP arrays and WES,Not established in reviewed material,HRDsum and HRR alteration classes assessed separately,TAI+LST+LOH; HRDscar named in text,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,ASCAT full cohort; Sequenza WES OV,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Assay comparison; purity dilution; within-cancer association,"Leave-one-out cutpoint comparison, not leave-one-cancer-out",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Ground truth and thresholds,Not established in reviewed material,Pan-cancer scores use SNP-array ASCAT; WES is an ovarian comparison. Cutpoints and purity effects differ by cancer.,Prior reading-map wording about WES pan-cancer labels is misleading.,One versioned target; paired comparison before pooling labels.
